terridawnarnold;1;@mylearnie @DistanceLrnBot Distance learning may be the future for even more students than before Covid-19. Brick and mortar schools will be modified. At least that is a theory some educators share.;;;;;
whoareyouehhh;0;Rasa sebak pulak nak buat reflective essay pasal impact covid-19 on online learning. Suddenly it hit me soo hard with all the struggles, mental breakdown, crying session, give up with my degree. Literally during the process just dull. I officially unlock myself into another level;;;;;
hardeep_1469;1;i am not mentally ready to wake up at 7 again but its good bc I am doin online bc of how bad covid is🤦🏽(only going to school for like 3 days);;;;;
Kristen48960231;0;@KoparaFallsKid @Raymartin55 It will be more dangerous for my 13yo for schools not to reopen on time. Last lockdown he started cutting himself from the anxiety of remote learning. He is fully vaccinated - we have to balance very carefully COVID against other health concerns (especially mental health).;;;;;
alanvibe;1;"This is why we need to STOP Mass Testing Now #together  ""The biggest threat to keeping children in face-to-face education will be high numbers of teachers forced into self-isolation after testing positive for Covid-19""  #TogetherDeclaration @Togetherdec    https://t.co/6myB2U0rjv";;;;;
WideAwakeAz;0;@dougducey If the upper class entitled families at my school who refused their COVID vaccine get COVID and we are asked to quarantine I will refuse. We will not participate in the ineffective distance learning AZ has for their schools.;;;;;
marwan20135086;1;@akpinar_serhat I believe that it is better if it stays online education till Covid-19 have a treatment. Because it is very dangerous to have face to face education and most of the country’s still on quarantine.;;;;;
JoanneLeeJacobs;0;#education #learning Keeping schools closed risks children's futures. Schools aren't spreading Covid, data show. And remote ed isn't working for most kids.  https://t.co/pyin88lkln;;;;;
Beekynd;0;@JANEMCARTHUR11 Our son has been doing online learning ....its not safe in the schools 😕 everyone we know thats had covid got it from their kids or grandkids  who caught it at school because there are 0 protections in place 😳my son does have anxiety because he knows Covids not gone;;;;;
rmbodenheimer;0;@davidzweig @AlecMacGillis @NYMag Thank you so much for this piece. The paranoia and fear among parents and teachers is blinding them to how harmful distance learning is, particularly for kids who are just now totally off the grid/abandoned. All they can think about is Covid, not the dozens of other risks.;;;;;
trevorw1953;0;Schools plan for remote learning rotas as Covid disruption spreads. Move risks worsening ‘digital divide’ for students without laptops or the internet.  https://t.co/G80U3ffFI1;;;;;
dave_andersen;0;@JAldrichPL If this case rate remains next Monday, the rest of my lectures for the semester will be remote. And we all lose out. I've got several students missing a week right now due to covid symptoms. That sucks too. This is a stupid policy that invites large-scale disruption of education.;;;;;
SDsmosher;2;@sdwc2020 @k5james Good theory. I just wonder with the state wide budget cuts if SDSU is going sell or lease more of that land to developers to build. I mean realistically they don't need all of the land for classrooms as proven by this whole COVID thing and everything going online learning.;;;;;
WilliamBlair;2;Back to school took on a new meaning this fall as schools, educators, and parents weigh the risks of opening classrooms amid the COVID-19 crisis. See how ed-tech companies are providing online learning solutions in our latest issue of Client Focus  https://t.co/I2dyJzEfEa  https://t.co/vlhCChnDmT;;;;;
ALThomps78;1;My family is in quarantine because you forced face-to-face school in unsafe conditions. I'm sick/going to test Monday because of unsafe conditions in schools. I'm scared I have covid due to unsafe conditions in schools. I wear a mask but am SURROUNDED by those who don't.;;;;;
shawnwenzel;1;She's maintaining an average over 90% and is making plans for college now. The difference: remote online learning over the past two years thanks to COVID! Yes many kids struggle but some kids with ADHD or autism or victims of bullying may perform better with remote learning! 2;;;;;
JPAEJournal;0;Start your week off right with this new #OnlineFirst article by @DamienYaghi: Impact of online education on anxiety and stress among undergraduate public affairs students: A longitudinal study during the COVID-19 pandemic  https://t.co/xKvCvlrsMn;;;;;
kukinobuu;1;@ameariosu idk why but i work a lot better online bc somehow i'm rlly good at managing class, hw and other distractions all at the same time which i would never be able to do face to face 😭😭😭;;;;;
fuyerescaper;2;Covid feedback:  1) students appreciate the advantages of good, thoughtful online learning (asynchronicity, rewindability, etc)👍  2) They STILL say they'd rather be in direct contact with us. 😢  3) Some of them even worry that online teaching is too much work for *us*😭;;;;;
mr_cgc;0;Balaji's record is much, much better than mine. But he's wrong about scaling education.   You can't do it through software. Teachers are the point of leverage in the system.   COVID showed what a disaster online instruction is. To engage in learning, kids need to be with a human;;;;;
santoshSTEM;0;@RajCMO @ashokgehlot51 As other state open School, we also need to open it as many experts says that there is a lower risk of children from covid. There is maximum loss are facing children due to online classes and closed schools. It also creat mental stress to children. Now situation is normal so open;;;;;
